dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,regist,cnt,casual_lag2,regist_lag2,cnt_lag2,temp_inc,casual_avg_aheadWeek,regist_avg_aheadWeek,cnt_avg_aheadWeek,casual_avg_ahead3days,regist_avg_ahead3days,cnt_avg_ahead3days,casual_avg_aheadMonth,regist_avg_aheadMonth,cnt_avg_aheadMonth,casual_median_LastWeek,regist_median_LastWeek,cnt_median_LastWeek,casual_inc_ratio_monthly,regist_inc_ratio_monthly,cnt_inc_ratio_monthly,casual_inc_ratio_weekly,regist_inc_ratio_weekly,cnt_inc_ratio_weekly,casual_inc_ratio,regist_inc_ratio,cnt_inc_ratio
2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,43,1220,1263,54.0,768.0,822.0,0.121,95.429,1248.571,1344.0,88.0,1211.4,1299.4,125.556,1118.222,1243.778,88.0,1362.0,1510.0,-0.57,-0.313,-0.339,-0.434,-0.385,-0.388,-0.204,0.589,0.536
2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,41.0,1280.0,1321.0,0.022,84.143,1255.857,1340.0,79.8,1163.8,1243.6,117.1,1134.4,1251.5,82.0,1362.0,1510.0,-0.65,0.128,0.056,-0.513,0.019,-0.014,-0.39,-0.112,-0.12
2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,38,1368,1406,43.0,1220.0,1263.0,-0.045,74.857,1222.429,1297.286,70.8,1104.2,1175.0,110.364,1142.182,1252.545,68.0,1280.0,1321.0,-0.61,0.068,0.008,-0.426,-0.002,-0.026,-0.116,0.121,0.113
2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,25.0,1137.0,1162.0,-0.025,66.714,1168.0,1234.714,46.2,1059.2,1105.4,103.25,1141.75,1245.0,54.0,1220.0,1263.0,-0.758,-0.004,-0.067,-0.625,-0.027,-0.059,1.16,0.202,0.223
2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,222,1026,1248,38.0,1368.0,1406.0,0.45,59.571,1146.571,1206.143,40.2,1154.6,1194.8,98.231,1159.154,1257.385,43.0,1220.0,1263.0,-0.613,0.18,0.118,-0.362,0.193,0.166,4.842,-0.25,-0.112
2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,54.0,1367.0,1421.0,-0.007,46.143,1147.286,1193.429,40.2,1274.4,1314.6,95.071,1174.0,1269.071,43.0,1220.0,1263.0,-0.432,0.164,0.12,0.17,0.192,0.191,3.648,-0.303,-0.153
2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,222.0,1026.0,1248.0,-0.241,68.143,1166.571,1234.714,76.4,1223.6,1300.0,103.533,1164.133,1267.667,43.0,1220.0,1263.0,1.144,-0.119,-0.016,2.258,-0.12,0.011,-0.473,-0.139,-0.199
2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,9,674,683,251.0,953.0,1204.0,0.232,96.286,1193.0,1289.286,118.0,1170.2,1288.2,112.75,1150.938,1263.688,43.0,1220.0,1263.0,1.226,-0.172,-0.047,1.607,-0.201,-0.066,-0.964,-0.293,-0.433
2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,78,1572,1650,117.0,883.0,1000.0,0.348,107.143,1136.286,1243.429,136.4,1119.4,1255.8,113.0,1135.176,1248.176,54.0,1137.0,1248.0,0.035,-0.222,-0.199,0.092,-0.223,-0.196,-0.333,0.78,0.65
2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,9.0,674.0,683.0,-0.104,102.286,1058.286,1160.571,130.6,980.6,1111.2,107.222,1109.556,1216.778,54.0,1026.0,1204.0,-0.916,-0.393,-0.439,-0.912,-0.363,-0.411,8.222,1.736,1.821
2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,78.0,1572.0,1650.0,-0.322,109.857,1120.429,1230.286,135.4,1021.6,1157.0,105.684,1133.895,1239.579,78.0,1026.0,1248.0,-0.262,0.386,0.331,-0.29,0.403,0.341,-0.038,-0.066,-0.065
2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,83.0,1844.0,1927.0,-0.667,116.286,1188.429,1304.714,107.6,1185.2,1292.8,104.55,1169.4,1273.95,83.0,1026.0,1248.0,-0.206,0.577,0.513,-0.286,0.552,0.477,0.12,-0.518,-0.491
2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,150,836,986,75.0,1468.0,1543.0,0.632,119.286,1202.857,1322.143,72.4,1288.2,1360.6,103.143,1183.619,1286.762,83.0,1026.0,1248.0,-0.273,0.24,0.199,-0.371,0.22,0.167,1.0,-0.431,-0.361
2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,86,1330,1416,93.0,888.0,981.0,0.009,100.857,1183.143,1284.0,67.6,1289.2,1356.8,102.682,1170.182,1272.864,83.0,953.0,1204.0,-0.094,-0.241,-0.229,-0.078,-0.249,-0.236,-0.075,0.498,0.443
2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,150.0,836.0,986.0,1.295,86.429,1166.429,1252.857,95.8,1321.6,1417.4,104.739,1155.652,1260.391,83.0,888.0,1000.0,0.432,-0.277,-0.218,0.736,-0.283,-0.213,0.24,1.152,1.013
2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,86.0,1330.0,1416.0,-0.027,82.0,1230.286,1312.286,97.4,1273.2,1370.6,103.958,1162.917,1266.875,83.0,1330.0,1416.0,-0.173,0.144,0.118,0.049,0.081,0.079,-0.605,-0.645,-0.643
2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,186.0,1799.0,1985.0,-0.103,107.286,1391.0,1498.286,118.0,1264.2,1382.2,107.24,1188.36,1295.6,86.0,1468.0,1543.0,0.734,0.514,0.532,0.734,0.293,0.325,-0.919,-0.769,-0.783
2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,38,1129,1167,34.0,472.0,506.0,0.043,101.0,1233.857,1334.857,109.8,1065.0,1174.8,104.423,1160.808,1265.231,86.0,1330.0,1416.0,-0.674,-0.593,-0.6,-0.663,-0.617,-0.621,0.118,1.392,1.306
2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,123,975,1098,15.0,416.0,431.0,-0.034,91.286,1029.857,1121.143,94.2,970.6,1064.8,101.111,1133.222,1234.333,86.0,888.0,986.0,-0.852,-0.633,-0.651,-0.836,-0.596,-0.616,7.2,1.344,1.548
2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,38.0,1129.0,1167.0,0.102,86.0,981.429,1067.429,71.8,1029.2,1101.0,98.857,1133.071,1231.929,86.0,888.0,986.0,-0.616,-0.004,-0.053,-0.558,0.15,0.093,2.684,-0.153,-0.061
2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,123.0,975.0,1098.0,-0.165,90.286,993.857,1084.143,79.2,958.2,1037.4,99.69,1127.621,1227.31,86.0,975.0,1098.0,0.234,-0.135,-0.105,0.362,-0.019,0.013,-0.659,0.496,0.367
2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,47,1313,1360,140.0,956.0,1096.0,0.063,88.857,1011.0,1099.857,70.0,789.6,859.6,101.033,1121.9,1222.933,86.0,975.0,1098.0,0.386,-0.148,-0.104,0.576,-0.054,-0.004,-0.664,0.373,0.241
2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,42.0,1459.0,1501.0,0.353,82.571,1029.429,1112.0,71.6,987.0,1058.6,99.129,1132.774,1231.903,42.0,975.0,1098.0,-0.576,0.288,0.218,-0.491,0.417,0.35,0.714,-0.003,0.017
2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,61,1489,1550,47.0,1313.0,1360.0,-0.281,62.714,960.0,1022.714,78.0,1166.4,1244.4,89.968,1154.032,1244.0,42.0,975.0,1098.0,-0.478,0.138,0.093,-0.251,0.368,0.33,0.298,0.134,0.14
2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,88,1620,1708,72.0,1454.0,1526.0,0.13,68.143,1100.286,1168.429,84.8,1231.4,1316.2,88.065,1179.323,1267.387,47.0,1129.0,1167.0,-0.182,0.233,0.204,0.057,0.321,0.306,0.222,0.114,0.119
2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,100,905,1005,61.0,1489.0,1550.0,0.104,74.714,1253.571,1328.286,72.4,1334.2,1406.6,86.161,1187.71,1273.871,61.0,1313.0,1360.0,-0.292,0.254,0.217,-0.184,0.188,0.167,0.639,-0.392,-0.352
2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,88.0,1620.0,1708.0,0.225,81.857,1323.714,1405.571,62.0,1467.0,1529.0,85.516,1193.065,1278.581,72.0,1454.0,1501.0,0.029,0.358,0.336,0.075,0.224,0.215,3.023,-0.217,-0.05
2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,120,1592,1712,100.0,905.0,1005.0,-0.05,78.571,1313.714,1392.286,73.6,1356.2,1429.8,86.097,1173.29,1259.387,72.0,1454.0,1501.0,0.161,-0.229,-0.202,0.273,-0.311,-0.278,0.2,0.759,0.703
2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,354.0,1269.0,1623.0,-0.187,109.143,1358.429,1467.571,135.0,1347.4,1482.4,94.677,1165.258,1259.935,72.0,1454.0,1526.0,2.739,0.089,0.288,2.243,-0.066,0.106,-0.819,0.155,-0.057
2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,120.0,1592.0,1712.0,-0.39,120.286,1377.429,1497.714,144.6,1375.0,1519.6,93.774,1172.677,1266.452,88.0,1454.0,1550.0,0.28,0.358,0.352,-0.002,0.156,0.143,-0.558,-0.025,-0.062
2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,47,1491,1538,64.0,1466.0,1530.0,0.071,122.714,1399.286,1522.0,145.2,1370.4,1515.6,93.645,1191.226,1284.871,88.0,1466.0,1550.0,-0.317,0.231,0.191,-0.478,0.048,0.005,-0.266,0.017,0.005
2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,53.0,1552.0,1605.0,0.31,120.0,1413.286,1533.286,138.2,1356.8,1495.0,93.613,1216.516,1310.129,88.0,1489.0,1605.0,-0.434,0.276,0.225,-0.558,0.098,0.047,1.811,0.029,0.088
2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,288,1184,1472,47.0,1491.0,1538.0,0.177,118.0,1413.571,1531.571,127.6,1474.0,1601.6,93.806,1223.323,1317.129,88.0,1491.0,1605.0,-0.499,0.219,0.168,-0.602,0.055,0.004,5.128,-0.206,-0.043
2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,397,1192,1589,149.0,1597.0,1746.0,0.423,126.714,1410.286,1537.0,86.6,1539.6,1626.2,97.226,1235.484,1332.71,100.0,1491.0,1605.0,0.533,0.293,0.31,0.176,0.132,0.136,1.664,-0.254,-0.09
2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,288.0,1184.0,1472.0,0.311,153.571,1450.143,1603.714,120.2,1458.0,1578.2,105.71,1237.0,1342.71,120.0,1491.0,1605.0,1.724,-0.043,0.096,0.875,-0.184,-0.082,-0.278,0.44,0.3
2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,140,1675,1815,397.0,1192.0,1589.0,-0.359,159.714,1439.143,1598.857,186.8,1403.2,1590.0,117.29,1231.323,1348.613,120.0,1491.0,1589.0,2.385,-0.032,0.178,1.486,-0.172,-0.006,-0.647,0.405,0.142
2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,218,1897,2115,208.0,1705.0,1913.0,0.196,172.286,1455.286,1627.571,217.8,1433.8,1651.6,122.258,1242.226,1364.484,149.0,1491.0,1589.0,0.701,0.373,0.402,0.207,0.172,0.175,0.048,0.113,0.106
2011-02-17,1,0,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,259,2216,2475,140.0,1675.0,1815.0,0.369,183.143,1485.143,1668.286,236.4,1470.6,1707.0,119.613,1263.161,1382.774,149.0,1552.0,1605.0,0.17,0.326,0.313,-0.236,0.128,0.088,0.85,0.323,0.364
2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,218.0,1897.0,2115.0,0.197,206.714,1534.429,1741.143,250.2,1530.6,1780.8,118.548,1293.613,1412.161,208.0,1597.0,1746.0,0.839,0.466,0.498,0.055,0.236,0.215,1.656,0.238,0.384
2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,259.0,2216.0,2475.0,-0.235,237.0,1638.0,1875.0,244.4,1737.0,1981.4,123.129,1336.613,1459.742,218.0,1675.0,1815.0,1.103,0.658,0.696,0.093,0.353,0.32,1.054,-0.502,-0.339
2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,579.0,2348.0,2927.0,-0.285,298.429,1745.286,2043.714,280.8,1968.2,2249.0,141.516,1390.613,1532.129,259.0,1705.0,1913.0,3.091,0.688,0.91,0.94,0.345,0.432,0.104,-0.5,-0.381
2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,532.0,1103.0,1635.0,0.064,333.286,1733.714,2067.0,345.6,1847.8,2193.4,156.161,1375.484,1531.645,259.0,1705.0,1913.0,2.407,-0.198,0.067,0.596,-0.364,-0.209,-0.633,-0.173,-0.323
2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,639.0,1173.0,1812.0,-0.399,367.857,1731.0,2098.857,445.4,1747.4,2192.8,174.097,1353.839,1527.935,259.0,1705.0,1913.0,2.67,-0.134,0.186,0.737,-0.322,-0.137,-0.884,0.173,-0.2
2011-02-23,1,0,2,0,3,1,1,0.221739,0.24571700000000002,0.423043,0.094113,139,1778,1917,195.0,912.0,1107.0,0.217,366.0,1617.714,1983.714,440.8,1550.4,1991.2,177.968,1335.903,1513.871,259.0,1675.0,1815.0,0.096,-0.317,-0.269,-0.467,-0.436,-0.442,-0.287,0.95,0.732
2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,74.0,1376.0,1450.0,0.333,356.571,1575.0,1931.571,403.8,1382.4,1786.2,177.355,1351.645,1529.0,259.0,1376.0,1812.0,-0.583,0.018,-0.052,-0.792,-0.126,-0.249,0.351,0.241,0.246
2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,139.0,1778.0,1917.0,0.232,345.286,1558.0,1903.286,315.8,1268.4,1584.2,177.0,1382.032,1559.032,259.0,1376.0,1812.0,-0.215,0.287,0.23,-0.597,0.141,0.007,-0.137,-0.246,-0.238
2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.18657100000000001,424,1545,1969,100.0,1707.0,1807.0,-0.225,322.571,1485.286,1807.857,229.4,1389.2,1618.6,177.452,1394.194,1571.645,195.0,1376.0,1807.0,-0.436,0.224,0.15,-0.69,0.149,-0.0,3.24,-0.095,0.09
2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,120.0,1341.0,1461.0,0.216,257.0,1341.429,1598.429,125.6,1422.8,1548.4,175.323,1379.419,1554.742,139.0,1341.0,1635.0,-0.316,-0.028,-0.06,-0.533,-0.0,-0.086,4.783,0.274,0.644
2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.8763639999999999,0.289686,81,1365,1446,424.0,1545.0,1969.0,0.186,241.571,1404.571,1646.143,171.4,1549.4,1720.8,187.903,1414.032,1601.935,139.0,1376.0,1807.0,1.256,0.093,0.229,0.755,0.1,0.196,-0.809,-0.117,-0.266
2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,694.0,1708.0,2402.0,-0.345,249.429,1481.0,1730.429,295.4,1615.8,1911.2,209.806,1455.71,1665.516,139.0,1545.0,1807.0,2.308,0.173,0.442,1.782,0.153,0.388,-0.803,0.004,-0.229
2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.30783299999999997,231,1903,2134,81.0,1365.0,1446.0,0.256,233.143,1545.714,1778.857,283.8,1533.2,1817.0,211.194,1463.323,1674.516,120.0,1545.0,1807.0,-0.616,-0.067,-0.136,-0.653,-0.117,-0.187,1.852,0.394,0.476
2011-03-03,1,0,3,0,4,1,1,0.19833299999999998,0.200133,0.318333,0.225754,123,1562,1685,137.0,1714.0,1851.0,-0.408,242.143,1594.0,1836.143,291.2,1534.6,1825.8,211.645,1487.161,1698.806,137.0,1707.0,1851.0,-0.353,0.153,0.09,-0.434,0.075,0.008,-0.102,-0.089,-0.09
2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,231.0,1903.0,2134.0,0.319,255.286,1611.857,1867.143,313.4,1647.0,1960.4,214.581,1517.71,1732.29,137.0,1707.0,1851.0,0.077,0.254,0.232,-0.095,0.181,0.143,-0.074,-0.091,-0.089
2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,123.0,1562.0,1685.0,0.468,258.571,1591.143,1849.714,253.2,1650.4,1903.6,217.194,1521.032,1738.226,137.0,1562.0,1851.0,-0.434,0.027,-0.031,-0.524,-0.018,-0.089,4.203,-0.08,0.233
2011-03-06,1,0,3,0,0,0,2,0.37652199999999997,0.366252,0.948261,0.343287,114,491,605,214.0,1730.0,1944.0,-0.02,272.0,1646.714,1918.714,157.2,1654.8,1812.0,222.581,1534.484,1757.065,214.0,1708.0,1944.0,-0.039,0.127,0.106,-0.213,0.051,0.013,-0.467,-0.716,-0.689
2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,640.0,1437.0,2077.0,-0.305,302.857,1631.286,1934.143,269.0,1669.2,1938.2,240.903,1533.935,1774.839,214.0,1708.0,1944.0,1.657,-0.063,0.17,1.113,-0.119,0.074,-0.619,0.133,-0.099
2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,114.0,491.0,605.0,0.118,220.0,1457.429,1677.429,264.4,1424.6,1689.0,242.613,1501.742,1744.355,137.0,1562.0,1851.0,-0.53,-0.673,-0.653,-0.482,-0.663,-0.639,1.772,2.701,2.526
2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,244.0,1628.0,1872.0,0.011,243.286,1495.0,1738.286,267.0,1369.6,1636.6,247.645,1502.0,1749.645,214.0,1628.0,1872.0,-0.015,0.084,0.07,0.003,0.089,0.077,-0.217,0.044,0.01
2011-03-10,1,0,3,0,4,1,3,0.38909099999999996,0.385668,0.0,0.26187699999999997,46,577,623,316.0,1817.0,2133.0,0.315,268.857,1509.714,1778.571,305.6,1420.6,1726.2,254.613,1531.419,1786.032,231.0,1628.0,1944.0,0.241,0.186,0.194,0.175,0.204,0.199,-0.854,-0.682,-0.708
2011-03-11,1,0,3,0,5,1,2,0.31652199999999997,0.305,0.649565,0.23296999999999998,247,1730,1977,191.0,1700.0,1891.0,-0.187,263.143,1480.714,1743.857,301.0,1414.6,1715.6,249.355,1545.323,1794.677,214.0,1628.0,1891.0,-0.234,0.1,0.054,-0.274,0.148,0.084,0.293,0.018,0.045
2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,46.0,577.0,623.0,0.04,252.143,1340.0,1592.143,182.2,1242.6,1424.8,246.968,1512.581,1759.548,214.0,1628.0,1891.0,-0.814,-0.619,-0.646,-0.818,-0.569,-0.609,14.739,1.44,2.422
2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.5273909999999999,0.270604,982,1435,2417,247.0,1730.0,1977.0,0.168,256.857,1340.0,1596.857,208.8,1490.4,1699.2,252.871,1521.097,1773.968,244.0,1628.0,1891.0,-0.023,0.137,0.114,-0.038,0.291,0.238,2.976,-0.171,0.223
2011-03-14,1,0,3,0,1,1,1,0.32521700000000003,0.332,0.496957,0.136926,359,1687,2046,724.0,1408.0,2132.0,-0.154,268.857,1335.857,1604.714,304.8,1446.4,1751.2,274.516,1516.452,1790.968,244.0,1628.0,1891.0,1.637,-0.072,0.19,1.693,0.054,0.329,-0.504,0.198,-0.04
2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,982.0,1435.0,2417.0,-0.024,392.857,1470.714,1863.571,438.0,1370.0,1808.0,304.677,1514.645,1819.323,247.0,1628.0,1977.0,2.223,-0.053,0.329,1.5,-0.024,0.297,-0.706,0.231,-0.149
2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693000000000003,0.776522,0.20311700000000002,321,1871,2192,359.0,1687.0,2046.0,0.151,409.286,1479.143,1888.429,471.6,1367.4,1839.0,311.452,1517.548,1829.0,316.0,1687.0,2046.0,0.153,0.112,0.119,-0.123,0.141,0.083,-0.106,0.109,0.071
2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,289.0,1767.0,2056.0,0.136,405.429,1472.0,1877.429,520.2,1605.4,2125.6,311.484,1536.355,1847.839,289.0,1687.0,2046.0,-0.072,0.15,0.113,-0.287,0.2,0.095,0.467,0.313,0.335
2011-03-18,1,0,3,0,5,1,1,0.54,0.5270090000000001,0.525217,0.231017,884,2355,3239,321.0,1871.0,2192.0,0.301,424.0,1496.429,1920.429,535.0,1633.6,2168.6,309.032,1558.258,1867.29,321.0,1687.0,2056.0,0.039,0.201,0.174,-0.243,0.25,0.141,1.754,0.259,0.478
2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.37916700000000003,0.368167,1424,1693,3117,424.0,2320.0,2744.0,-0.125,478.0,1745.429,2223.429,475.0,1816.0,2291.0,316.0,1578.097,1894.097,359.0,1730.0,2132.0,0.342,0.47,0.449,-0.113,0.329,0.234,2.358,-0.27,0.136
2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471,884.0,2355.0,3239.0,-0.296,569.0,1834.714,2403.714,455.4,2000.0,2455.4,340.0,1600.032,1940.032,424.0,1767.0,2192.0,1.6,0.472,0.67,0.554,0.284,0.347,0.184,-0.395,-0.237
2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,1424.0,1693.0,3117.0,0.295,669.0,1875.429,2544.429,668.4,2001.2,2669.6,378.903,1593.452,1972.355,424.0,1767.0,2417.0,2.758,0.062,0.58,1.129,-0.097,0.225,-0.718,-0.01,-0.334
2011-03-22,2,0,3,0,2,1,1,0.44166700000000003,0.44064200000000003,0.624583,0.22575,460,2243,2703,1047.0,1424.0,2471.0,0.026,678.286,1873.857,2552.143,820.0,1932.6,2752.6,404.323,1567.903,1972.226,424.0,1767.0,2471.0,1.59,-0.092,0.253,0.544,-0.24,-0.032,-0.561,0.575,0.094
